name,表示/非表示,権限名称
add_masterdatareceiveinterface,表示,マスタデータ受信IF 追加権限
view_sendreceiptrequest,非表示,-
delete_sendreceiptrequest,非表示,-
change_sendreceiptrequest,非表示,-
add_sendreceiptrequest,非表示,-
view_senddatainterface,非表示,-
delete_senddatainterface,非表示,-
change_senddatainterface,非表示,-
add_senddatainterface,非表示,-
view_receivedatainterface,非表示,-
delete_receivedatainterface,非表示,-
change_receivedatainterface,非表示,-
add_receivedatainterface,非表示,-
view_receiptrequestinterface,表示,入庫受入依頼IF 参照権限
delete_receiptrequestinterface,表示,入庫受入依頼IF 削除権限
change_receiptrequestinterface,表示,入庫受入依頼IF 更新権限
add_receiptrequestinterface,表示,入庫受入依頼IF 追加権限
view_diffcalculation,非表示,-
delete_diffcalculation,非表示,-
change_diffcalculation,非表示,-
add_diffcalculation,非表示,-
view_deadlinesetting,表示,締め処理設定 参照権限
delete_deadlinesetting,表示,締め処理設定 削除権限
change_deadlinesetting,表示,締め処理設定 更新権限
add_deadlinesetting,表示,締め処理設定 追加権限
view_connection,表示,受信元/送信先 参照権限
delete_connection,表示,受信元/送信先 削除権限
change_connection,表示,受信元/送信先 更新権限
add_connection,表示,受信元/送信先 追加権限
view_stockfluctuationhistory,非表示,-
delete_stockfluctuationhistory,非表示,-
change_stockfluctuationhistory,非表示,-
add_stockfluctuationhistory,非表示,-
view_filesendreceivehistory,非表示,-
delete_filesendreceivehistory,非表示,-
change_filesendreceivehistory,非表示,-
add_filesendreceivehistory,非表示,-
view_filedownloaduploadhistory,非表示,-
delete_filedownloaduploadhistory,非表示,-
change_filedownloaduploadhistory,非表示,-
add_filedownloaduploadhistory,非表示,-
view_batchhistory,非表示,-
delete_batchhistory,非表示,-
change_batchhistory,非表示,-
add_batchhistory,非表示,-
view_allocateapihistory,非表示,-
delete_allocateapihistory,非表示,-
change_allocateapihistory,非表示,-
add_allocateapihistory,非表示,-
view_saleschannel,表示,販売チャネル情報 参照権限
delete_saleschannel,非表示,-
change_saleschannel,非表示,-
add_saleschannel,非表示,-
view_prefecture,非表示,-
delete_prefecture,非表示,-
change_prefecture,非表示,-
add_prefecture,非表示,-
view_domain,非表示,-
delete_domain,非表示,-
change_domain,非表示,-
add_domain,非表示,-
view_corporation,表示,法人情報 参照権限
delete_corporation,非表示,-
change_corporation,表示,法人情報 更新権限
add_corporation,非表示,-
view_apisetting,非表示,-
delete_apisetting,非表示,-
change_apisetting,非表示,-
add_apisetting,非表示,-
view_alerttype,非表示,-
delete_alerttype,非表示,-
change_alerttype,非表示,-
add_alerttype,非表示,-
view_socialtoken,非表示,-
delete_socialtoken,非表示,-
change_socialtoken,非表示,-
add_socialtoken,非表示,-
view_socialaccount,非表示,-
delete_socialaccount,非表示,-
change_socialaccount,非表示,-
add_socialaccount,非表示,-
view_socialapp,非表示,-
delete_socialapp,非表示,-
change_socialapp,非表示,-
add_socialapp,非表示,-
view_emailconfirmation,非表示,-
delete_emailconfirmation,非表示,-
change_emailconfirmation,非表示,-
add_emailconfirmation,非表示,-
view_emailaddress,非表示,-
delete_emailaddress,非表示,-
change_emailaddress,非表示,-
add_emailaddress,非表示,-
view_site,非表示,-
delete_site,非表示,-
change_site,非表示,-
add_site,非表示,-
view_session,非表示,-
delete_session,非表示,-
change_session,非表示,-
add_session,非表示,-
view_contenttype,非表示,-
delete_contenttype,非表示,-
change_contenttype,非表示,-
add_contenttype,非表示,-
view_group,非表示,-
delete_group,非表示,-
change_group,非表示,-
add_group,非表示,-
view_permission,非表示,-
delete_permission,非表示,-
change_permission,非表示,-
add_permission,非表示,-
view_logentry,非表示,-
delete_logentry,非表示,-
change_logentry,非表示,-
add_logentry,非表示,-
view_user,非表示,-
delete_user,非表示,-
change_user,非表示,-
add_user,非表示,-
view_permission,非表示,-
delete_permission,非表示,-
change_permission,非表示,-
add_permission,非表示,-
view_group,非表示,-
delete_group,非表示,-
change_group,非表示,-
add_group,非表示,-
view_allocation_dashboard,表示,引当データ集計 参照権限
