1:Shuffled,2:Ascended,3:Descended
TESTCASENAME,TOTALTIME,TOTALTIMEIT
testcase_1000_1,0.004311,0.00431548897176981
testcase_1000_2,0.002468,0.002474389970302582
testcase_1000_3,0.002647,0.0026534809730947018
testcase_10000_1,0.045027,0.04503465804737061
testcase_10000_2,0.028077,0.028101247968152165
testcase_10000_3,0.036433,0.03644073603209108
testcase_100000_1,0.654143,0.6541323149576783
testcase_100000_2,0.353461,0.3534584769513458
testcase_100000_3,0.341528,0.3415466700680554
